"Subject_ID","Participant","Date","Time","Experiment_Duration","Screen_Resolution","Screen_Size","Browser","Browser_Version","Device","Device_OS"
"sub-113","wo5rw2","27/12/2022","10:17:18",23.9137833333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-114","yuqm8t","24/12/2022","17:46:34",19.4969166666667,"1022x620",0.63364,"chrome","108.0.0","Desktop","Windows 10"
"sub-115","gmxfm2","28/12/2022","18:05:12",22.3034833333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-116","00fl9o","21/12/2022","10:28:22",15.3048,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-119","1tavm8","22/12/2022","14:38:08",19.64405,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-120","6su1qc","24/12/2022","14:54:49",27.5053333333333,"1366x657",0.897462,"chrome","108.0.0","Desktop","Windows 10"
"sub-121","8pgdpu","21/12/2022","16:57:15",21.9514,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-122","oy7aww","30/12/2022","10:27:14",18.2656333333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-123","khrdz6","23/12/2022","11:29:29",23.5488833333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-126","jdb9sw","29/12/2022","10:33:49",16.6609333333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-127","puloo0","07/01/2023","17:13:37",17.8400166666667,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-128","pg63be","28/12/2022","14:36:19",21.8847333333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-129","pecugg","29/12/2022","13:30:36",19.04145,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-130","7w9unt","05/01/2023","15:07:02",18.5530333333333,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-131","vetlbl","29/12/2022","17:17:50",19.8481666666667,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
"sub-132","34wwc5","12/01/2023","17:15:28",21.10355,"1366x600",0.8196,"chrome","108.0.0","Desktop","Windows 10"
